A,B,result
Knowledge representation and reasoning,Encryption,0
Assembly language,Malware,0
Formal language,Monad (functional programming),0
Parallel computing,Query optimization,0
Image analysis,Cluster analysis,0
Modular arithmetic,Algebra,1
Computing,Data,0
Numerical analysis,String (computer science),0
Information theory,Mathematics,1
Application software,Discrete mathematics,0
Prolog,Interactivity,0
Memory hierarchy,Shortest path problem,0
Automated planning and scheduling,Interpolation,0
Traffic analysis,Arithmetic,0
Concurrent computing,Digital electronics,1
Quantum mechanics,Ray tracing (graphics),0
Mathematical induction,Mathematical proof,1
Recommender system,Markov chain,1
Database transaction,Iterative method,0
Array data structure,User interface,0
Internet,Telecommunications network,1
Motion capture,Graphics,1
Parallel computing,File system,0
Computational problem,Compiler,0
Input/output,Arithmetic,1
Finite element method,Autonomous robot,0
Computational chemistry,Abstraction (computer science),1
Discrete mathematics,Partial differential equation,0
Computer,File system,0
Ordinary differential equation,Interactivity,0
Control flow,Computer programming,1
Kernel (computing),Microprocessor,0
Coding theory,Computer science,1
Query optimization,Signal processing,0
High-level programming language,Computer science,1
Modular programming,Bayesian,0
Statistical inference,Quantum cryptography,0
Scripting language,Linear algebra,0
Multi-core processor,Traffic analysis,0
Synchronization,Scalability,0
Autonomous robot,Mechanical engineering,1
Parallel algorithm,Computing,1
Transaction processing,Bayesian,0
Geometric modeling,Bayesian network,0
Garbage collection (computer science),Foundations of mathematics,1
Operating system,Synchronization,0
Mobile device,Parsing,0
Hash table,Rendering (computer graphics),0
Decision theory,Polynomial,1
Probability theory,Tensor,0
Document classification,Algorithm,1
Ray tracing (graphics),Computer graphics,1
Cluster analysis,Integral,0
Cryptographic hash function,Probability theory,1
Discrete mathematics,Polynomial,0
Multiplication,Programming style,0
Computer programming,Digital electronics,1
Cryptography,Iterative method,1
Divide and conquer algorithm,Number theory,0
Database,Image processing,0
Database,Social network,0
Interactivity,Graph theory,1
Spanning tree,Quantum computer,0
Parsing,Computer science,1
Decision theory,Combinatorics,1
MapReduce,Document classification,0
Algorithm,Bayesian,0
Rendering (computer graphics),Data,1
Random walk,Poisson distribution,0
Linear programming,Problem solving,1
Cryptanalysis,Computational complexity theory,1
Type system,Programming language,1
Dynamic memory allocation,Image processing,0
Autonomous robot,Data warehouse,0
Processor register,Array data structure,1
Inter-process communication,Operating system,1
Embedded system,Fast Fourier transform,0
Compiler,Regular expression,1
Monte Carlo method,Foundations of mathematics,1
Parallel algorithm,Logic,1
Suffix tree,Exponential family,0
Programming style,Rendering (computer graphics),0
Data structure,Input/output,0
Theory of computation,Data analysis,0
Modular arithmetic,Large deviations theory,0
Visualization (computer graphics),Foundations of mathematics,1
Program analysis,Graph theory,1
Computer architecture,Image analysis,0
Turing machine,Random walk,0
Statistical inference,Programmer,0
Shortest path problem,NP-complete,1
Theoretical computer science,Discrete mathematics,1
Distributed algorithms,Algorithm,1
Fast Fourier transform,Iterative method,1
Software engineering,Variable (computer science),1
Computational geometry,Arithmetic,1
Complexity class,Fixed point (mathematics),0
Profiling (computer programming),Computation,1
3D modeling,CPU cache,0
Parallel computing,Logic,1
Input/output,Reinforcement learning,0
Approximation,Halting problem,0
Mathematical optimization,Logic,1
Computer animation,Geometry,1
Unix,GPU,0
Computer animation,Graphics,1
Visualization (computer graphics),Linear system,0
Algorithm design,Discrete mathematics,1
Coding theory,Computation,1
Natural language processing,Computer science,1
Machine translation,Abstraction (computer science),1
Computer network,Digital electronics,1
Complexity class,Entropy,0
Symbol table,Foundations of mathematics,1
Expert system,Modular arithmetic,0
Bayesian,Probability,1
String (computer science),Computer science,1
Data structure,Programming language,1
Denotational semantics,Programming language,1
Ordinary differential equation,Eigenvalues and eigenvectors,1
Python (programming language),Gradient descent,0
Speech recognition,Cloud computing,0
Index (database),Recursively enumerable set,0
Graphics,Telecommunications network,0
Approximation algorithm,Algorithm,1
World Wide Web,SQL,0
Communications protocol,Computing,1
Generic programming,PSPACE,0
Database normalization,Economics,0
Distributed computing,Algorithm design,1
Software testing,Computational science,1
Quantum computer,Haskell (programming language),0
Recursively enumerable set,Computation,1
Linear programming,Combinatorics,1
Reinforcement learning,Mathematics,1
Firewall (computing),Analysis of algorithms,0
Cloud computing,Feature extraction,0
Algorithm,Computer programming,1
Virtual memory,Algorithm,0
World Wide Web,Query language,0
Robot,Shortest path problem,0
User interface design,Random graph,0
Stochastic process,Continuous function,1
Processor register,Nonlinear system,0
Recursion,Distributed algorithms,0
Calculus,Mathematics,1
Software testing,Automata theory,1
Model of computation,Logic programming,0
Probability theory,Bayesian,0
Decision theory,Graph (mathematics),0
Graph theory,Computer vision,0
Mathematical proof,Graphical model,0
Big data,Computer,1
Computer graphics,Semidefinite programming,0
Algebra,Foundations of mathematics,1
B-tree,Data type,1
Computer simulation,Boundary value problem,0
Python (programming language),Computer,1
Structured programming,Packet switching,0
Parsing,Abstraction (computer science),1
High-level programming language,NP-complete,0
3D computer graphics,Integer,1
Combinatorics,Finite set,1
Recursively enumerable set,Hidden Markov model,0
Transaction processing,Computing,1
System programming,Geometric modeling,0
Quantum mechanics,Signal processing,0
Software framework,Computer programming,1
Variable (computer science),Semidefinite programming,0
Machine translation,Boundary value problem,0
NP (complexity),Computational problem,1
3D modeling,Combinatorics,1
Database design,Relational database,1
Neural network,Statistical inference,1
Communications protocol,Integer,1
Data mining,Operating system,1
Database management system,Data structure,1
Computer graphics,Computer,1
Scientific visualization,Data,1
Recursion,Volume rendering,0
Design of experiments,Instruction set,0
Abstraction (computer science),Discrete mathematics,1
Software engineering,Computing,1
Compiler optimization,Assembly language,1
HTML,Memory management,0
Computer graphics,Matrix (mathematics),1
Geometric modeling,Computational chemistry,0
Cache coherence,Decision theory,0
Cryptography,Theory of computation,1
Graph (mathematics),Shared memory,0
Concurrent computing,Arithmetic,1
Feature extraction,Logic,1
Software framework,Computational complexity theory,1
Partial differential equation,hypothesis testing,0
Graphical model,Probability theory,1
Lisp (programming language),Linked list,0
Very long instruction word,Asymptotic analysis,0
Model of computation,Theoretical computer science,1
Sparse matrix,Syntax,0
Program optimization,Computation,1
Recommender system,Hash table,0
Pattern recognition,Number theory,1
Perl,Formal grammar,0
Cryptanalysis,Cryptography,1
Complexity class,Geometric modeling,0
Machine learning,Computability,1
"Best, worst and average case",Graph theory,1
Computer graphics,Polynomial,1
Lisp (programming language),Shared memory,0
Cache coherence,Web server,0
Object (computer science),Computer,1
Nonlinear system,Uncertainty,0
Program optimization,Python (programming language),0
Congestion control,Communications protocol,1
System programming,Central processing unit,1
Recommender system,Divide and conquer algorithm,0
Neural network,Graph theory,1
Random walk,Markov chain,1
Number theory,Central processing unit,0
Database,Foundations of mathematics,1
hypothesis testing,Predicate logic,0
Information theory,Computing,0
Automatic programming,"Best, worst and average case",0
Finite set,Functional programming,0
Malware,Telecommunications network,0
Computer vision,Combinatorics,1
Parallel algorithm,Combinatorics,1
B-tree,Data,1
Variable (computer science),Logic,1
Operating system,Logic,1
Natural language,Mathematics,0
Lexical analysis,Finite-state machine,1
Statistics,Cache coherence,0
Communications protocol,Parallel computing,0
Computer network,Data (computing),1
Exponential family,Random walk,0
Undecidable problem,Computer science,1
P versus NP problem,Pattern matching,0
Recursion,Programming paradigm,0
Complexity,Combinatorics,1
Recurrence relation,Approximation,0
Web search engine,Combinatorics,1
Higher-order function,Computation,0
Motion capture,Python (programming language),0
Software engineering,Abstract data type,1
Mutual exclusion,Microprocessor,0
Query language,Computational science,1
Software engineering,Mathematical induction,1
Logic programming,Time complexity,0
NP-complete,Nonlinear system,0
Interface (computing),Computer simulation,0
Database design,Computer programming,1
Input/output,Higher-order function,0
Natural language processing,Foundations of mathematics,1
Database management system,Operating system,1
Reason,Denotational semantics,0
Quantum computer,Mathematics,1
Computational chemistry,Computational science,1
Knowledge representation and reasoning,Analysis of algorithms,1
Economics,Formal language,0
Quantum cryptography,Variable (computer science),0
Graphical model,Partial differential equation,0
Sequence alignment,Concurrency (computer science),0
Lexical analysis,String (computer science),1
Expert system,Algorithm,1
Java (programming language),Regular expression,1
